doy,mean_sif,mean_dsif,std_dsif
1,0.0042,-0.0006,0.0017
9,0.0035,-0.0007,0.0013
17,0.0032,-0.0003,0.0021
25,0.0022,-0.0010,0.0016
33,0.0013,-0.0009,0.0020
41,-0.0004,-0.0017,0.0022
49,-0.0027,-0.0023,0.0029
57,-0.0038,-0.0011,0.0036
65,-0.0036,0.0002,0.0058
73,-0.0019,0.0017,0.0050
81,0.0003,0.0023,0.0056
89,0.0035,0.0032,0.0061
97,0.0095,0.0060,0.0053
105,0.0181,0.0086,0.0069
113,0.0273,0.0092,0.0084
121,0.0421,0.0148,0.0110
129,0.0589,0.0168,0.0121
137,0.0746,0.0158,0.0142
145,0.0968,0.0222,0.0121
153,0.1200,0.0232,0.0178
161,0.1358,0.0158,0.0151
169,0.1510,0.0152,0.0161
177,0.1583,0.0072,0.0157
185,0.1507,-0.0075,0.0123
193,0.1364,-0.0143,0.0119
201,0.1192,-0.0172,0.0080
209,0.0986,-0.0206,0.0084
217,0.0811,-0.0175,0.0091
225,0.0643,-0.0168,0.0085
233,0.0509,-0.0134,0.0049
241,0.0446,-0.0063,0.0035
249,0.0388,-0.0058,0.0048
257,0.0339,-0.0048,0.0043
265,0.0294,-0.0045,0.0052
273,0.0235,-0.0059,0.0047
281,0.0177,-0.0059,0.0072
289,0.0163,-0.0013,0.0085
297,0.0105,-0.0058,0.0049
305,0.0088,-0.0017,0.0053
313,0.0059,-0.0029,0.0055
321,0.0047,-0.0012,0.0040
329,0.0038,-0.0009,0.0018
337,0.0038,0.0000,0.0025
345,0.0044,0.0006,0.0019
353,0.0042,-0.0003,0.0013
361,0.0050,0.0009,0.0019
